Captcha_Name,Segment_File,Predicted_Label,Correlation_Score
1t8_08,char_1.png,1,0.8162
1t8_08,char_2.png,t,0.742
1t8_08,char_3.png,8,0.6858
3xz_00,char_1.png,3,0.6369
3xz_00,char_2.png,x,0.762
3xz_00,char_3.png,z,0.7384
3y1_06,char_1.png,3,0.6814
3y1_06,char_2.png,y,0.6884
3y1_06,char_3.png,1,0.8731
5yp_03,char_1.png,5,0.5742
5yp_03,char_2.png,y,0.6919
5yp_03,char_3.png,p,0.6672
63p_07,char_1.png,5,0.5187
63p_07,char_2.png,3,0.6508
63p_07,char_3.png,p,0.6434
9o6_04,char_1.png,9,0.601
9o6_04,char_2.png,o,0.7537
9o6_04,char_3.png,6,0.5916
a6c_07,char_1.png,a,0.7161
a6c_07,char_2.png,6,0.5877
a6c_07,char_3.png,0,0.5757
buc_02,char_1.png,b,0.6733
buc_02,char_2.png,u,0.6082
buc_02,char_3.png,o,0.59
c5h_09,char_1.png,o,0.6707
c5h_09,char_2.png,5,0.5706
c5h_09,char_3.png,h,0.6716
clc_01,char_1.png,0,0.5684
clc_01,char_2.png,a,0.1666
clc_01,char_3.png,c,0.6489
h4q_05,char_1.png,h,0.6563
h4q_05,char_2.png,4,0.7007
h4q_05,char_3.png,q,0.673
kte_03,char_1.png,k,0.6991
kte_03,char_2.png,t,0.7546
kte_03,char_3.png,e,0.7833
l4x_01,char_1.png,q,0.2994
l4x_01,char_2.png,4,0.7349
l4x_01,char_3.png,x,0.7756
pj1_06,char_1.png,p,0.6562
pj1_06,char_2.png,1,0.5517
pj1_06,char_3.png,1,0.8024
q5l_04,char_1.png,q,0.6791
q5l_04,char_2.png,5,0.5809
q5l_04,char_3.png,a,0.1666
rsd_08,char_1.png,r,0.6289
rsd_08,char_2.png,s,0.6709
rsd_08,char_3.png,d,0.6654
sdq_02,char_1.png,s,0.6842
sdq_02,char_2.png,d,0.6628
sdq_02,char_3.png,q,0.6794
tk6_05,char_1.png,t,0.7556
tk6_05,char_2.png,k,0.6885
tk6_05,char_3.png,6,0.6066
u30_00,char_1.png,u,0.6406
u30_00,char_2.png,3,0.6566
u30_00,char_3.png,0,0.6298
ui7_09,char_1.png,u,0.5984
ui7_09,char_2.png,i,0.4727
ui7_09,char_3.png,7,0.7722
